Дата рождения	Имя	Фамилия	Отчество	Код клиента
дата 15 January 1971	Федор	Желтоножко	Корнелиевич	1007
дата 1986/05 Москва	Федосий	Желтонос	Корнилович	1008
дата рождения 5.10.1998	Федот	Иваков	Корнилиевич	1009
рождения 05/10/1986Москва	Феликс	Иванаев	Ксенофонтович	1010
05.10.1999	Феоктист	Иванеев	Кузьмич	1011
12.янв.03	Феофан	Иваненко	Куприянович	1012
28 августа 1957	Ферапонт	Иваненков	Захарович	1013
28 мая 1954	Филарет	Иванец	Захариевич	1014
28.сен.56	Филимон	Иваников	Зенонович	1015
15.12.1858	Филипп	Иванилов	Зиновиевич	1016
1960	Фирс	Иванин	Зосимович	1017
1964 год	Флорентин	Иванисов	Зосимч	1018
1999 Feb 10 Питер	Фока	Иванихин	Иакимович	1019
10.05.1986	Фома	Иваничев	Иакинфович	1020
19.05.1986	Фортунат	Иванишев	Иванович	1021
19861005 Москва	Фотий	Иванишин	Игнатович	1022
25.05.1999	Фрол	Иванишко	Игнатиевич	1023
04.05.1999	Харитон	Иванишын	Игоревич	1024
5-10-1986 город Коломна	Харлампий	Иванищев	Иеронимович	1025
05.05.1965	Христофор	Иванищук	Измаилович	1026
05.01.1999	Чеслав	Иванкин	Изосимович	1027
05.10.3986	Эдуард	Иванко	Изотович	1028
05.10.1996	Эммануил	Иванков	Изяславович	1029
05.10.1989	Эмиль	Иванников	Илиодорович	1030
дата 05101999	Эраст	Иванов	Илларионович	1031
дата 15 January 1972	Эрнест	Ивановец	Иларионович	1032
дата 1986/05 Москва	Эрнст	Иванович	Ильич	1033
дата рождения 5.10.1999	Ювеналий	Ивановский	Иннокентиевич	1034
рождения 05/10/1986Москва	Юлиан	Иванский	Иоаннович	1035
05.10.1964	Юлий	Ивантеев	Иович	1036
12.янв.04	Юрий	Ивантей	Ионич	1037
29 августа 1957	Яков	Ивантьев	Иосафатович	1038
29 мая 1954	Ян	Иванусьев	Иосифович	1039
29.сен.56	Якуб	Иванушкин	Ипатович	1040
15.12.1859	Януарий	Иванцев	Ипатиевич	1041
1961	Ярополк	Иванцов	Ипполитович	1042
1965 год	Ярослав	Иванченко	Ираклиевич	1043
1991 Feb 10 Питер	Мартын	Иванченков	Иринархович	1044
22.05.1986	Мартьян	Иванчиков	Иринеевич	1045
23.05.1986	Матвей	Иванчин	Исаакович	1046
19861005 Москва	Мефодий	Иванчихин	Исаакиевич	1047
25.05.1991	Мечислав	Иванчов	Исаевич	1048
04.05.1990	Милан	Иваншинцев	Исакович	1049
5-10-1986 город Коломна	Милен	Иванычев	Исакиевич	1050
05.05.1966	Милий	Иванышкин	Исидорович	1051
05.01.1985	Милован	Иваньев	Иустинович	1052
05.10.1946	Мина	Иванько	Казимирович	1053
05.10.1942	Мир	Иваньков	Каллиникович	1054
05.10.1986	Мирон	Иваньшин	Каллистович	1055
дата 05101987	Мирослав	Иванюк	Каллистратович	1056
дата 15 January 1973	Митофан	Иванюков	Капитонович	1057
дата 1986/05 Москва	Михаил	Иванютин	Карионович	1058
дата рождения 5.10.1985	Михей	Иванюшин	Карлович	1059
рождения 05/10/1986Москва	Модест	Иванянков	Олегович	1060
05.10.1973	Моисей	Ивасенко	Олимпиевич	1061
12.янв.05	Мокей	Ивасишин	Онисимович	1062
30 августа 1957	Мстислав	Ивахин	Онуфриевич	1063
30 мая 1954	Назар	Ивахненко	Орестович	1064
30.сен.56	Наркис	Ивахно	Осипович	1065
15.12.1860	Натан	Ивахнов	Оскарович	1066
1962	Наум	Ивахнушкин	Остапович	1067
1966 год	Нестор	Ивачев	Павлович	1068
1984 Feb 10 Питер	Никандр	Ивашев	Павлинович	1069
20.05.1986	Никанор	Ивашенцев	Паисиевич	1070
25.07.1986	Никита	Ивашечкин	Палладиевич	1071
19861005 Москва	Никифор	Ивашин	Памфилович	1072
25.05.1986	Никодим	Ивашиненко	Памфилиевич	1073
04.05.1985	Николай	Ивашинников	Панкратович	1074
5-10-1986 город Коломна	Никон	Ивашинцов 	Панкратиевич	1075
05.05.1967	Нифонт	Лабудин	Пантелеевич	1076
05.01.1984	Олег	Лабутин	Пантелеймонович	1077
05.10.1984	Олимпий	Лабуткин	Панфилович	1078
05.10.1986	Онуфрий	Лаверко	Парамонович	1079
05.10.1984	Орест	Лаверычев	Парменович	1080
дата 05101984	Осип	Лавников	Пармёнович	1081
дата 15 January 1974	Остап	Лавренев	Парфёнович	1082
дата 1986/05 Москва	Остромир	Лавренко	Парфениевич	1083
дата рождения 5.10.1986	Павел	Лавренов	Парфентиевич	1084
рождения 05/10/1986Москва	Панкратий	Лавренович	Патрикеевич	1085
05.10.1992	Панкрат	Лаврентьев	Патрикиевич	1086
12.янв.06	Пантелеймон	Лавренцев	Пафнутиевич	1087
31 августа 1957	Панфил	Лавренчук	Пахомович	1088
31 мая 1954	Парамон	Лавренюк	Пахомиеви	1089
31 сен 56	Парфен	Лаврец	Перфилиевич	1090
15.12.1861	Пахом	Лаврив	Петрович	1091
1963	Петр	Лаврик	Пименович	1092
1967 год	Пимен	Лавриков	Питиримович	1093
1994 Feb 10 Питер	Платон	Лавримов	Платонович	1094
19.05.1986	Поликарп	Лаврин	Поликарпович	1095
13.05.1993	Порфирий	Лавриненко	Поликарпиевич	1096
19861005 Москва	Потап	Лавриненков	Порфирович	1097
25.05.1990	Пров	Лавринец	Порфириевич	1098
04.05.1990	Прокл	Лавринов	Потапович	1099
5-10-1986 город Коломна	Прокофий	Лавринович	Потапиевич	1100
05.05.1968	Прохор	Лавринцев	Прович	1101
05.01.1990	Радим	Лавриченко	Проклович	1102
05.10.1989	Радислав	Лаврищев	Прокопович	1103
05.10.1987	Радован	Лаврищенко	Прокопиевич	1104
05.10.1981	Ратибор	Лавров	Прокофиевич	1105
дата 05101980	Ратмир	Лаврович	Протасович	1106
дата 15 January 1975	Родион	Лавровский	Протасиевич	1107
дата 1986/05 Москва	Роман	Лавронов	Прохорович	1108
дата рождения 5.10.1979	Ростислав	Лаврук	Радиевич	1109
рождения 05/10/1986Москва	Рубен	Лаврухин	Ратмирович	1110
05.10.1971	Руслан	Лаврушин	Рафаилович	1111
12.янв.07	Рюрик	Лаврушко	Ремович	1112
3 августа 1957	Савва	Лаврущенко	Робертович	1113
13 мая 1954	Савватий	Лагодин	Родионович	1114
31 сен 56	Савелий	Лагунов	Романович	1115
15.12.1862	Самсон	Лагутенок	Ростиславович	1116
1964	Самуил	Лагутин	Рубенович	1117
1968 год	Светозар	Ладыгин	Рувимович	1118
1973 Feb 10 Питер	Святополк	Ладыженский	Рудольфович	1119
13.05.1977	Святослав	Ладыжинский	Русланович	1120
14.01.1966	Севастьян	Ладыжников	Рюрикович	1121
19861005 Москва	Селиван	Ладынин	Ремович	1122
25.05.1972	Селиверст	Лажечников	Робертович	1123
04.05.1971	Семен	Лазарев	Родионович	1124
5-10-1986 город Коломна	Серафим	Лазаревич	Романович	1125
05.05.1969	Сергей	Лазаренко	Ростиславович	1126
05.01.1971	Сигизмунд	Лазариди	Рубенович	1127
05.10.4626	Ксения	Лазаричева	Саввична	1128
05.10.4706	Лада	Лазебникова	Савватеевна	1129
05.10.1970	Лариса	Лазлова	Савватьевна	1130
дата 05102003	Леокадия	Лазоренко	 Савёловна	1131
дата 15 January 1976	Лиана	Лазукина	 Савельевна	1132
05.10.1946	Лидия	Лазунина	Самойловна	1133
06.11.1947	Лилиана	Лазурина	 Самсоновна	1134
07.12.1948	Лилия	Лазутина	 Самсоньевна	1135
08.01.1950	Лия	Лазуткина	 Самуиловна	1136
09.02.1951	Луиза	Лазутчикова	Свиридовна	1137
12.03.1952	Лукерья	Лазухина	 Святополковна	1138
13.04.1953	Любава	Лайкина	 Святославна	1139
15.05.1954	Любовь	Лайкова	Себастьяновна	1140
16.06.1955	Любомила	Лакашева	 Севастьяновна	1141
17.07.1956	Любомира	Лакашина	Севериновна	1142
18.08.1957	Людмила	Лакедемонская	Северьяновна	1143
19.09.1958	Майя	Лактионова	Селивановна	1144
21.10.1959	Мальвина	Лысаева	Селивёрстовна	1145
21.11.1960	Маргарита	Лысанова	 Селифановна	1146
23.12.1961	Марианна	Лысенко	Семёновна	1147
24.01.1963	Мариетта	Лысенкова	Серапионовна	1148
25.02.1964	Марина	Лысяк	Серафимовна	1149
28.03.1965	Мария	Лысякова	Сергеевна	1150
29.04.1966	Марта	Лытаева	Сигизмундовна	1151
31.05.1967	Марфа	Лыткина	Сидоровна	1152
01.07.1968	Меланья	Львова	 Силовна	1153
02.08.1969	Мелитриса	Львович	 Силановна	1154
03.09.1970	Милана	Любавина	Силантьевна	1155
05.10.1971	Милена	Любавцева	 Силуяновна	1156
05.11.1972	Милица	Любанина	Сильвановна	1157
07.12.1973	Мира	Любарская	 Сильвестровна	1158
08.01.1975	Мирослава	Любасвкая	Симеоновна	1159
09.02.1976	Млада	Любахина	Симоновна	1160
12.03.1977	Мстислава	Любашевская	Созоновна	1161
13.04.1978	Муза	Любашина	Созонтовна	1162
15.05.1979	Надежда	Любвина	 Созонтьевна	1163
15.06.1980	Наталья	Любезная	Сократовна	1164
17.07.1981	Наталия	Любиева	Соломоновна	1165
18.08.1982	Неонила	Любимова	 Сосипатровна	1166
19.09.1983	Ника	Любимцева	Софоновна	1167
20.10.1984	Нина	Любимая	 Софоньевна	1168
21.11.1985	Нинель	Любина	 Софроновна	1169
23.12.1986	Нона	Любищева	Софроньевна	1170
24.01.1988	Оксана	Любкина	 Спартаковна	1171
24.02.1989	Октябрина	Любовина	Спиридоновна	1172
28.03.1990	Олимпиада	Любовцева	Спиридоньевна	1173
29.04.1991	Ольга	Любочкина	 Станиславна	1174
30.05.1992	Пелагея	Любусина	Стахиевна	1175
01.07.1993	Поликсена	Любутина	Степановна	1176
02.08.1994	Полина	Любухина	 Стратониковна	1177
03.09.1995	Прасковья	Любушина	Сысоевна	1178
04.10.1996	Пульхерия	Любушкина	Тарасовна	1179
05.11.1928	Рада	Любченко	 Терентьевна	1180
07.12.1929	Раиса	Любчика	 Тертиевна	1181
08.01.1930	Регина	Любятина	Тимофеевна	1182
08.02.1931	Рената	Любятинская	 Тимуровна	1183
12.03.1932	Лада	Люкшина	Титовна	1184
13.04.1933	Лариса	Люминарская	 Тихоновна	1185
14.05.1934	Леокадия	Люсина	 Трифоновна	1186
15.06.1935	Лиана	Лютикова	Трофимовна	1187
17.07.1936	Лидия	Лютихина	Уваровна,	1188
18.08.1937	Лилиана	Лютова	 Уаровна	1189
18.09.1938	Лилия	Лютягина	 Ульяновна	1190
20.10.1939	Лия	Люшина	Устиновна	1191
21.11.1940	Луиза	Лягина	 Станиславна	1192
23.12.1941	Лукерья	Ляднова	Стахиевна	1193
23.01.1942	Любава	Лядова	Степановна	1194
24.02.1943	Любовь	Лякина	 Стратониковна	1195
28.03.1944	Любомила	Лякова	Сысоевна	1196
28.04.1945	Любомира	Лялечкина	Тарасовна	1197
30.05.1946	Людмила	Лялина	 Терентьевна	1198
01.07.1947	Майя	Лялькина	 Тертиевна	1199
02.08.1948	Мальвина	Лямина	Тимофеевна	1200
02.09.1979	Маргарита	Лямудина	 Тимуровна	1201
04.10.1949	Марианна	Лямцева	Титовна	1202
05.11.1950	Мариетта	Лямцына	 Тихоновна	1203
07.12.1951	Марина	Ляпидевская	 Трифоновна	1204
